CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2022-04-01 00:00:00+02:00,143.4,192.0,24.26,111.72,111.72,173.26,111.72,111.72,218.0,111.72,278.29,110.0,143.4,111.72,235.0,278.29,235.0,278.29,235.0,235.0,235.0,111.72,111.72,173.26,181.56,181.56,69.71,19.38,181.56,111.72,218.0,24.26,111.72,111.72,111.72,111.72,143.4,111.72
2022-04-01 01:00:00+02:00,128.4,124.0,24.26,99.64,99.64,152.3,99.64,99.64,186.0,99.64,254.44,115.0,128.4,99.64,236.65,254.44,236.65,254.44,236.65,236.65,236.65,99.64,99.64,152.3,179.04,179.04,66.76,17.24,179.04,99.64,186.0,24.26,99.64,99.64,99.64,99.64,128.4,99.64
2022-04-01 02:00:00+02:00,124.84,137.48,24.26,94.48,94.48,159.9,94.48,94.48,179.76,94.48,257.19,110.0,124.84,94.48,240.65,257.19,240.65,257.19,240.65,240.65,240.65,94.48,94.48,159.9,178.63,178.63,66.61,16.83,178.63,94.48,179.76,24.26,94.48,94.48,94.48,94.48,124.84,94.48
2022-04-01 03:00:00+02:00,118.11,193.88,24.26,99.59,99.59,151.0,99.59,99.59,176.44,99.59,249.69,110.0,118.11,99.59,233.65,249.69,233.65,249.69,233.65,233.65,233.65,99.59,99.59,151.0,178.7,178.7,67.73,16.81,178.7,99.59,176.44,24.26,99.59,99.59,99.59,99.59,118.11,99.59
2022-04-01 04:00:00+02:00,126.14,194.89,64.83,109.02,109.02,150.0,109.02,109.02,179.76,109.02,248.97,115.0,126.14,109.02,238.65,248.97,238.65,248.97,238.65,238.65,238.65,109.02,109.02,150.0,179.86,179.86,58.48,16.89,179.86,109.02,179.76,64.83,109.02,109.02,109.02,109.02,126.14,109.02
2022-04-01 05:00:00+02:00,151.94,189.31,115.93,140.01,140.01,170.0,137.22,136.65,185.69,136.65,258.23,211.82,151.94,140.01,250.0,259.9,250.0,259.9,250.0,250.0,250.0,136.65,136.65,170.0,180.37,180.37,54.72,17.24,180.37,134.46,185.69,115.93,136.65,136.65,136.65,136.65,151.94,140.01
2022-04-01 06:00:00+02:00,203.7,174.8,138.41,178.63,178.63,181.41,181.41,181.41,197.1,181.41,315.7,283.38,203.7,178.63,286.0,315.7,286.0,315.7,286.0,286.0,286.0,181.41,181.41,181.41,186.83,186.83,68.55,17.35,186.83,135.54,197.1,138.41,167.43,167.43,181.41,181.41,203.7,178.63
2022-04-01 07:00:00+02:00,251.72,198.12,202.82,202.82,200.03,200.03,200.03,200.03,272.58,200.03,421.0,359.66,251.72,202.82,378.18,421.0,378.18,421.0,378.18,378.18,378.18,200.03,200.03,206.65,200.03,200.03,200.03,20.63,200.03,102.21,272.58,202.82,200.03,200.03,200.03,200.03,251.72,202.82
2022-04-01 08:00:00+02:00,264.96,262.0,150.2,208.47,208.47,208.47,208.47,208.47,288.72,208.47,470.02,356.66,264.96,223.58,381.0,470.02,422.29,470.02,422.29,381.0,381.0,208.47,208.47,285.64,208.24,208.24,208.47,25.78,208.24,109.57,288.72,150.2,208.47,208.47,208.47,208.47,264.96,223.58
2022-04-01 09:00:00+02:00,243.93,290.0,134.01,200.35,200.35,200.35,200.35,200.35,275.0,200.35,400.0,303.04,243.93,241.18,318.82,400.0,400.0,400.0,400.0,318.82,318.82,200.35,200.35,249.9,200.35,200.35,200.35,20.65,200.35,106.34,275.0,134.01,200.35,200.35,200.35,200.35,243.93,241.18
2022-04-01 10:00:00+02:00,223.47,275.8,95.03,223.47,193.08,193.08,193.08,193.08,250.0,193.08,348.13,249.51,223.47,223.47,272.12,348.13,300.15,348.13,300.15,272.12,272.12,193.08,193.08,204.0,193.08,193.08,187.31,17.3,193.08,112.84,250.0,95.03,187.31,187.31,193.08,193.08,223.47,223.47
2022-04-01 11:00:00+02:00,214.67,275.0,43.22,214.67,181.14,181.14,181.14,181.14,194.92,181.14,348.5,240.32,214.67,214.67,267.43,348.5,267.43,348.5,267.43,267.43,267.43,181.14,181.14,181.14,186.82,186.82,117.47,16.53,186.82,111.11,194.92,43.22,117.47,117.47,181.14,181.14,214.67,214.67
