CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2022-06-01 00:00:00+02:00,220.0,220.0,220.0,220.0,220.0,220.0,220.0,121.11,222.0,10.0,220.0,226.92,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,194.82,194.82,220.0,160.07,173.49,10.0,10.0,160.07,194.82,222.0,220.0,10.0,10.0,10.0,10.0,220.0,220.0
2022-06-01 01:00:00+02:00,207.45,207.45,207.45,207.45,207.45,207.45,207.45,121.12,212.59,9.5,207.45,223.77,207.45,207.45,207.45,207.45,207.45,207.45,207.45,207.45,207.45,169.92,169.92,207.45,157.4,169.88,9.5,9.5,157.4,169.92,212.59,207.45,9.5,9.5,9.5,9.5,207.45,207.45
2022-06-01 02:00:00+02:00,199.09,199.09,199.09,199.09,199.09,199.09,199.09,121.17,205.0,9.0,199.09,223.77,199.09,199.09,205.0,205.0,205.0,205.0,205.0,205.0,205.0,168.01,168.01,199.09,153.24,168.82,9.0,9.0,153.24,168.01,205.0,199.09,9.0,9.0,9.0,9.0,199.09,199.09
2022-06-01 03:00:00+02:00,182.53,182.53,182.53,182.53,182.53,182.53,182.53,121.14,198.95,9.99,182.53,220.45,182.53,182.53,211.5,211.5,211.5,211.5,211.5,211.5,211.5,169.16,169.16,182.53,152.93,168.76,9.99,9.99,152.93,169.16,198.95,182.53,9.99,9.99,9.99,9.99,182.53,182.53
2022-06-01 04:00:00+02:00,182.28,182.28,182.28,182.28,182.28,182.28,182.28,167.29,195.0,11.59,182.28,221.67,182.28,182.28,211.5,211.5,211.5,211.5,211.5,211.5,211.5,167.29,167.29,182.28,153.61,169.32,11.59,11.59,153.61,167.29,195.0,182.28,11.59,11.59,11.59,11.59,182.28,182.28
2022-06-01 05:00:00+02:00,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,31.88,198.95,217.76,198.95,198.95,213.65,213.65,213.65,213.65,213.65,213.65,213.65,198.95,198.95,198.95,151.84,169.03,31.88,11.71,151.84,181.41,198.95,198.95,31.88,31.88,31.88,31.88,198.95,198.95
2022-06-01 06:00:00+02:00,230.0,230.0,220.41,230.0,230.0,230.0,230.0,84.21,230.0,84.21,230.0,220.41,240.1,230.0,259.99,259.99,259.99,259.99,259.99,259.99,259.99,230.0,230.0,230.0,164.91,169.27,84.21,12.13,164.91,185.64,230.0,220.41,84.21,84.21,84.21,219.01,240.1,230.0
2022-06-01 07:00:00+02:00,249.68,249.68,237.36,249.68,249.68,249.68,249.68,139.6,249.68,139.6,249.68,237.36,249.68,249.68,249.68,249.68,249.68,249.68,249.68,249.68,249.68,249.68,249.68,249.68,178.93,178.93,111.86,12.36,178.93,192.35,249.68,249.68,111.86,111.86,139.6,243.69,249.68,249.68
2022-06-01 08:00:00+02:00,246.36,246.36,225.42,246.36,246.36,246.36,246.36,187.61,246.36,187.61,246.36,225.42,246.36,246.36,246.36,246.36,246.36,246.36,246.36,246.36,246.36,246.36,246.36,246.36,187.61,187.61,112.88,12.33,187.61,227.28,246.36,246.36,112.88,112.88,187.61,240.45,246.36,246.36
2022-06-01 09:00:00+02:00,228.82,228.82,223.77,228.82,228.82,228.82,228.82,149.99,228.82,149.99,228.82,223.77,233.67,228.82,233.67,233.67,233.67,233.67,233.67,233.67,233.67,228.82,228.82,228.82,200.22,200.22,114.13,12.31,200.22,226.85,228.82,228.82,114.13,114.13,149.99,223.33,233.67,228.82
2022-06-01 10:00:00+02:00,211.8,211.8,211.8,211.8,211.8,211.8,211.8,100.49,211.8,100.49,211.8,225.42,230.51,211.8,230.51,230.51,230.51,230.51,230.51,230.51,230.51,255.09,255.09,211.8,194.91,194.91,100.49,11.9,194.91,170.8,211.8,211.8,100.49,100.49,100.49,206.72,230.51,211.8
2022-06-01 11:00:00+02:00,206.6,206.6,206.6,206.6,206.6,206.6,206.6,101.48,205.58,101.48,206.6,223.77,223.94,206.6,223.94,223.94,223.94,223.94,223.94,223.94,223.94,206.6,206.6,206.6,190.52,190.52,101.48,11.75,190.52,159.67,205.58,206.6,101.48,101.48,101.48,201.64,223.94,206.6
2022-06-01 12:00:00+02:00,211.0,188.69,211.0,211.0,189.77,189.38,189.77,109.77,195.99,109.77,202.37,225.42,217.42,211.0,217.42,217.42,217.42,217.42,217.42,217.42,217.42,255.1,255.1,189.38,183.89,183.89,109.77,11.79,183.89,144.25,195.99,211.0,109.77,109.77,109.77,185.21,217.42,211.0
2022-06-01 13:00:00+02:00,211.0,183.68,211.0,211.0,184.86,184.48,184.86,110.05,180.0,110.05,199.66,214.98,217.42,211.0,217.42,217.42,217.42,217.42,217.42,217.42,217.42,399.42,399.42,184.48,179.13,179.13,110.05,11.73,179.13,131.03,180.0,211.0,110.05,110.05,110.05,180.42,217.42,211.0
2022-06-01 14:00:00+02:00,205.25,184.86,205.25,205.25,184.86,184.86,184.86,105.95,175.5,105.95,194.82,211.15,223.94,205.25,223.94,223.94,223.94,223.94,223.94,223.94,223.94,399.41,399.41,184.86,179.13,179.13,105.95,11.67,179.13,123.19,175.5,205.25,105.95,105.95,105.95,180.42,223.94,205.25
2022-06-01 15:00:00+02:00,180.04,180.04,220.0,180.04,180.04,180.04,180.04,112.0,173.0,112.0,180.04,220.0,233.67,220.0,233.67,233.67,233.67,233.67,233.67,233.67,233.67,255.04,255.04,180.04,173.36,173.36,105.9,11.63,173.36,124.32,173.0,220.0,112.0,112.0,112.0,175.72,233.67,220.0
2022-06-01 16:00:00+02:00,181.6,181.6,235.07,181.6,181.6,181.6,181.6,119.42,171.1,119.42,181.6,235.07,241.26,235.07,241.26,241.26,241.26,241.26,241.26,241.26,241.26,181.6,181.6,181.6,172.8,172.8,50.15,11.59,172.8,131.12,171.1,235.07,119.42,119.42,119.42,177.24,241.26,235.07
2022-06-01 17:00:00+02:00,199.71,199.71,252.11,199.71,199.71,199.71,199.71,183.09,174.0,183.09,199.71,270.02,260.55,252.11,260.55,260.55,260.55,260.55,260.55,260.55,260.55,194.92,194.92,199.71,183.09,183.09,48.02,11.57,183.09,164.07,174.0,252.11,117.1,117.1,183.09,194.92,260.55,252.11
2022-06-01 18:00:00+02:00,229.92,229.92,254.76,229.92,229.92,229.92,229.92,229.92,177.93,229.92,229.92,254.76,275.0,254.76,275.0,275.0,275.0,275.0,275.0,275.0,275.0,229.92,229.92,229.92,202.02,202.02,33.37,11.58,202.02,185.73,177.93,254.76,107.47,107.47,202.02,224.4,275.0,254.76
2022-06-01 19:00:00+02:00,251.98,251.98,267.16,251.98,251.98,251.98,251.98,251.98,205.67,251.98,251.98,267.16,308.11,267.16,321.56,321.56,321.56,321.56,321.56,321.56,321.56,251.98,251.98,251.98,183.05,183.05,31.09,11.59,183.05,215.38,205.67,267.16,118.23,118.23,183.05,245.94,308.11,267.16
2022-06-01 20:00:00+02:00,257.71,257.71,302.96,257.71,257.71,257.71,257.71,211.19,247.81,211.19,257.71,302.96,301.93,302.96,332.2,332.2,332.2,332.2,332.2,332.2,332.2,257.71,257.71,257.71,179.71,179.71,46.58,11.61,179.71,257.71,247.81,302.96,89.21,89.21,179.71,251.53,301.93,302.96
2022-06-01 21:00:00+02:00,262.6,262.6,269.9,262.6,262.6,262.6,262.6,186.34,262.6,186.34,262.6,269.9,274.23,269.9,275.0,275.0,275.0,275.0,275.0,275.0,275.0,262.6,262.6,262.6,182.32,182.32,33.24,11.59,182.32,248.05,262.6,269.9,87.27,87.27,182.32,256.3,274.23,269.9
2022-06-01 22:00:00+02:00,250.0,250.0,250.0,250.0,250.0,250.0,250.0,178.82,250.0,178.82,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,178.82,178.82,28.49,11.54,178.82,218.55,250.0,250.0,80.45,80.45,178.82,244.0,250.0,250.0
2022-06-01 23:00:00+02:00,230.33,230.33,230.33,230.33,230.33,230.33,230.33,149.84,232.55,149.84,230.33,230.33,236.42,230.33,236.42,236.42,236.42,236.42,236.42,236.42,236.42,230.33,230.33,230.33,160.06,170.94,30.19,11.26,160.06,190.18,232.55,230.33,81.25,81.25,149.84,149.84,236.42,230.33
2022-06-02 00:00:00+02:00,191.0,191.0,204.55,191.0,191.0,191.0,191.0,152.27,241.89,152.27,191.0,208.76,220.49,204.55,220.49,220.49,220.49,220.49,220.49,220.49,220.49,191.0,191.0,191.0,152.27,172.52,25.09,11.34,152.27,191.0,241.89,204.55,82.6,82.6,152.27,186.42,220.49,191.0
2022-06-02 01:00:00+02:00,175.04,175.04,175.04,175.04,175.04,172.21,172.21,122.25,238.97,122.25,175.04,207.87,214.48,175.04,215.42,215.42,215.42,215.42,215.42,215.42,215.42,175.04,175.04,175.04,149.02,167.21,23.15,11.3,149.02,175.04,238.97,175.04,94.62,94.62,122.25,122.25,214.48,175.04
2022-06-02 02:00:00+02:00,169.33,169.33,169.33,169.33,169.33,168.98,168.98,96.7,228.51,96.7,169.33,195.0,190.0,169.33,218.18,218.18,218.18,218.18,218.18,218.18,218.18,96.7,96.7,169.33,148.41,164.08,16.8,7.46,148.41,169.33,228.51,169.33,96.7,96.7,96.7,96.7,190.0,169.33
2022-06-02 03:00:00+02:00,161.96,161.96,161.96,161.96,161.96,161.62,161.62,91.9,228.41,91.9,161.96,178.32,161.96,161.96,221.56,221.56,221.56,221.56,221.56,221.56,221.56,91.9,91.9,161.96,148.32,156.94,14.77,7.29,148.32,161.96,228.41,161.96,91.9,91.9,91.9,91.9,161.96,161.96
2022-06-02 04:00:00+02:00,165.05,165.05,165.05,165.05,165.05,147.98,147.98,103.9,221.55,103.9,165.05,168.42,165.05,165.05,219.41,219.41,219.41,219.41,219.41,219.41,219.41,165.05,165.05,165.05,147.98,149.97,16.23,7.24,147.98,165.05,221.55,165.05,103.9,103.9,103.9,103.9,165.05,165.05
2022-06-02 05:00:00+02:00,171.7,171.7,171.7,171.7,171.7,148.39,148.39,148.39,223.0,148.39,171.7,171.7,177.1,171.7,216.24,216.24,216.24,216.24,216.24,216.24,216.24,171.7,171.7,171.7,148.39,148.39,23.15,7.4,148.39,171.7,223.0,171.7,133.53,133.53,148.39,148.39,177.1,171.7
2022-06-02 06:00:00+02:00,209.65,209.65,196.52,209.65,209.65,193.26,204.62,164.51,236.95,164.51,209.65,196.52,219.99,209.65,219.99,219.99,219.99,219.99,219.99,219.99,219.99,209.65,209.65,209.65,164.51,164.51,23.16,11.35,164.51,191.96,236.95,209.65,103.77,103.77,164.51,204.62,219.99,209.65
2022-06-02 07:00:00+02:00,223.1,223.1,198.06,223.1,223.1,223.1,223.1,223.1,241.89,223.1,223.1,198.06,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,175.38,175.38,25.8,11.45,175.38,188.38,241.89,223.1,147.04,147.04,223.1,223.1,223.1,223.1
2022-06-02 08:00:00+02:00,218.13,218.13,173.4,218.13,218.13,218.13,218.13,218.13,236.75,218.13,218.13,173.4,218.5,218.13,218.5,218.5,218.5,218.5,218.5,218.5,218.5,218.13,218.13,218.13,184.92,184.92,150.38,11.53,184.92,180.97,236.75,218.13,150.38,150.38,218.13,218.13,218.5,218.13
