CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2023-09-01 00:00:00+02:00,0.0,432.0,0.0,281.0,321.0,0.0,125.0,0.0,0.0,1602.0,9993.0,0.0,65.0,98.0,0.0,410.0,93.0,0.0,10.0,423.0,3106.0,0.0,1696.0,0.0,215.0,6388.0,0.0,930.0,0.0,17.0,0.0,39.0,0.0,198.0,0.0,17.0,0.0,83.0,0.0,19.0,0.0,34.0,0.0,152.0,0.0,215.0,0.0,221.0,3.0,0.0,130.0,242.0,0.0,40.0,0.0,131.0,0.0,42.0,0.0,44.0,0.0,0.0,0.0,3316.0,0.0,8.0,1017.0,0.0,443.0,0.0,1620.0,0.0,1686.0,0.0,269.0,0.0,89.0,0.0,0.0,1.0
2023-09-01 00:15:00+02:00,0.0,412.0,,,,,,,0.0,1575.0,9933.0,,,,,,,,,410.0,3090.0,0.0,1694.0,,,,,,,,0.0,38.0,,,,,,,,,,,,,,,,,,0.0,134.0,239.0,,,,,,,,,,,,,,,,0.0,443.0,,,,,,,,,,,
2023-09-01 00:30:00+02:00,0.0,388.0,,,,,,,0.0,1554.0,9870.0,,,,,,,,,396.0,3062.0,0.0,1689.0,,,,,,,,0.0,37.0,,,,,,,,,,,,,,,,,,0.0,138.0,238.0,,,,,,,,,,,,,,,,0.0,444.0,,,,,,,,,,,
2023-09-01 00:45:00+02:00,0.0,368.0,,,,,,,0.0,1534.0,9808.0,,,,,,,,,383.0,3030.0,0.0,1683.0,,,,,,,,0.0,36.0,,,,,,,,,,,,,,,,,,0.0,143.0,236.0,,,,,,,,,,,,,,,,0.0,444.0,,,,,,,,,,,
2023-09-01 01:00:00+02:00,0.0,352.0,0.0,273.0,352.0,0.0,156.0,0.0,0.0,1511.0,9751.0,0.0,106.0,131.0,0.0,422.0,89.0,0.0,15.0,367.0,2972.0,0.0,1677.0,0.0,258.0,6246.0,0.0,902.0,0.0,10.0,0.0,34.0,0.0,192.0,0.0,17.0,0.0,72.0,0.0,19.0,0.0,32.0,0.0,156.0,0.0,214.0,0.0,241.0,3.0,0.0,148.0,238.0,0.0,40.0,0.0,141.0,0.0,38.0,0.0,44.0,0.0,0.0,0.0,3438.0,0.0,5.0,956.0,0.0,479.0,0.0,1636.0,0.0,1732.0,0.0,285.0,0.0,102.0,0.0,0.0,1.0
2023-09-01 01:15:00+02:00,0.0,336.0,,,,,,,0.0,1483.0,9697.0,,,,,,,,,356.0,2959.0,0.0,1665.0,,,,,,,,0.0,32.0,,,,,,,,,,,,,,,,,,0.0,151.0,239.0,,,,,,,,,,,,,,,,0.0,479.0,,,,,,,,,,,
2023-09-01 01:30:00+02:00,0.0,316.0,,,,,,,0.0,1453.0,9650.0,,,,,,,,,347.0,2968.0,0.0,1650.0,,,,,,,,0.0,30.0,,,,,,,,,,,,,,,,,,0.0,154.0,245.0,,,,,,,,,,,,,,,,0.0,480.0,,,,,,,,,,,
2023-09-01 01:45:00+02:00,0.0,300.0,,,,,,,0.0,1419.0,9607.0,,,,,,,,,340.0,2992.0,0.0,1629.0,,,,,,,,0.0,28.0,,,,,,,,,,,,,,,,,,0.0,157.0,251.0,,,,,,,,,,,,,,,,0.0,480.0,,,,,,,,,,,
2023-09-01 02:00:00+02:00,0.0,284.0,0.0,228.0,359.0,0.0,314.0,0.0,0.0,1386.0,9559.0,0.0,143.0,158.0,0.0,435.0,92.0,0.0,15.0,338.0,3028.0,0.0,1599.0,0.0,270.0,6098.0,0.0,855.0,0.0,12.0,0.0,26.0,0.0,175.0,0.0,17.0,0.0,64.0,0.0,19.0,0.0,31.0,0.0,164.0,0.0,207.0,0.0,257.0,8.0,0.0,160.0,258.0,0.0,41.0,0.0,162.0,0.0,32.0,0.0,49.0,0.0,0.0,0.0,3507.0,0.0,4.0,870.0,0.0,504.0,0.0,1645.0,0.0,1748.0,0.0,313.0,0.0,118.0,0.0,0.0,1.0
2023-09-01 02:15:00+02:00,0.0,268.0,,,,,,,0.0,1354.0,9462.0,,,,,,,,,326.0,3059.0,0.0,1575.0,,,,,,,,0.0,24.0,,,,,,,,,,,,,,,,,,0.0,163.0,256.0,,,,,,,,,,,,,,,,0.0,504.0,,,,,,,,,,,
