CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2023-12-01 00:00:00+01:00,0.0,152.0,0.0,25.0,116.0,0.0,461.0,0.0,0.0,1521.0,1890.0,0.0,685.0,710.0,0.0,410.0,114.0,0.0,20.0,6.0,9804.0,0.0,1931.0,0.0,52.0,1958.0,0.0,1405.0,0.0,848.0,0.0,11.0,0.0,301.0,0.0,81.0,0.0,1360.0,0.0,39.0,0.0,438.0,0.0,1053.0,0.0,2690.0,0.0,269.0,0.0,0.0,1731.0,4347.0,0.0,87.0,0.0,265.0,0.0,267.0,0.0,100.0,0.0,0.0,0.0,1077.0,0.0,4.0,1451.0,0.0,1728.0,0.0,185.0,0.0,1272.0,0.0,1868.0,0.0,627.0,2.0,0.0,1.0
2023-12-01 00:15:00+01:00,0.0,152.0,,,,,,,0.0,1513.0,1934.0,,,,,,,,,7.0,9690.0,0.0,1935.0,,,,,,0.0,848.0,0.0,11.0,,,,,,,,,,,,,,,,,,0.0,1727.0,4322.0,,,,,,,,,,,,,,,,0.0,1725.0,,,,,,,,,,,
2023-12-01 00:30:00+01:00,0.0,152.0,,,,,,,0.0,1505.0,1978.0,,,,,,,,,8.0,9559.0,0.0,1941.0,,,,,,0.0,848.0,0.0,11.0,,,,,,,,,,,,,,,,,,0.0,1723.0,4291.0,,,,,,,,,,,,,,,,0.0,1723.0,,,,,,,,,,,
2023-12-01 00:45:00+01:00,0.0,152.0,,,,,,,0.0,1498.0,2020.0,,,,,,,,,8.0,9418.0,0.0,1953.0,,,,,,0.0,848.0,0.0,11.0,,,,,,,,,,,,,,,,,,0.0,1719.0,4259.0,,,,,,,,,,,,,,,,0.0,1721.0,,,,,,,,,,,
2023-12-01 01:00:00+01:00,0.0,152.0,0.0,26.0,131.0,0.0,463.0,0.0,0.0,1493.0,2066.0,0.0,658.0,667.0,0.0,395.0,109.0,0.0,18.0,9.0,9270.0,0.0,1976.0,0.0,52.0,1869.0,0.0,1420.0,0.0,842.0,0.0,11.0,0.0,299.0,0.0,84.0,0.0,1350.0,0.0,40.0,0.0,445.0,0.0,1058.0,0.0,2720.0,0.0,263.0,0.0,0.0,1715.0,4231.0,0.0,92.0,0.0,224.0,0.0,219.0,0.0,81.0,0.0,0.0,0.0,1101.0,0.0,4.0,1494.0,0.0,1549.0,0.0,208.0,0.0,1301.0,0.0,1864.0,0.0,645.0,1.0,0.0,1.0
2023-12-01 01:15:00+01:00,0.0,152.0,,,,,,,0.0,1512.0,2124.0,,,,,,,,,10.0,9122.0,0.0,1992.0,,,,,,0.0,842.0,0.0,11.0,,,,,,,,,,,,,,,,,,0.0,1716.0,4199.0,,,,,,,,,,,,,,,,0.0,1548.0,,,,,,,,,,,
2023-12-01 01:30:00+01:00,0.0,152.0,,,,,,,0.0,1528.0,2183.0,,,,,,,,,10.0,8979.0,0.0,2004.0,,,,,,0.0,842.0,0.0,10.0,,,,,,,,,,,,,,,,,,0.0,1723.0,4167.0,,,,,,,,,,,,,,,,0.0,1546.0,,,,,,,,,,,
2023-12-01 01:45:00+01:00,0.0,156.0,,,,,,,0.0,1547.0,2244.0,,,,,,,,,10.0,8846.0,0.0,2018.0,,,,,,0.0,842.0,0.0,10.0,,,,,,,,,,,,,,,,,,0.0,1729.0,4137.0,,,,,,,,,,,,,,,,0.0,1545.0,,,,,,,,,,,
2023-12-01 02:00:00+01:00,0.0,156.0,0.0,28.0,145.0,0.0,452.0,0.0,0.0,1566.0,2304.0,0.0,640.0,632.0,0.0,367.0,100.0,0.0,17.0,11.0,8692.0,0.0,2034.0,0.0,52.0,1926.0,0.0,1442.0,0.0,826.0,0.0,10.0,0.0,300.0,0.0,84.0,0.0,1351.0,0.0,41.0,0.0,440.0,0.0,1058.0,0.0,2737.0,0.0,261.0,0.0,0.0,1736.0,4107.0,0.0,90.0,0.0,185.0,0.0,164.0,0.0,70.0,0.0,0.0,0.0,1125.0,0.0,5.0,1541.0,0.0,1461.0,0.0,240.0,0.0,1329.0,0.0,1847.0,0.0,661.0,1.0,0.0,1.0
2023-12-01 02:15:00+01:00,0.0,156.0,,,,,,,0.0,1596.0,2357.0,,,,,,,,,10.0,8593.0,0.0,2045.0,,,,,,0.0,826.0,0.0,9.0,,,,,,,,,,,,,,,,,,0.0,1735.0,4068.0,,,,,,,,,,,,,,,,0.0,1459.0,,,,,,,,,,,
2023-12-01 02:30:00+01:00,0.0,156.0,,,,,,,0.0,1621.0,2411.0,,,,,,,,,8.0,8516.0,0.0,2053.0,,,,,,0.0,826.0,0.0,9.0,,,,,,,,,,,,,,,,,,0.0,1727.0,4023.0,,,,,,,,,,,,,,,,0.0,1458.0,,,,,,,,,,,
2023-12-01 02:45:00+01:00,0.0,156.0,,,,,,,0.0,1654.0,2463.0,,,,,,,,,7.0,8455.0,0.0,2058.0,,,,,,0.0,826.0,0.0,9.0,,,,,,,,,,,,,,,,,,0.0,1718.0,3977.0,,,,,,,,,,,,,,,,0.0,1457.0,,,,,,,,,,,
2023-12-01 03:00:00+01:00,0.0,156.0,0.0,34.0,150.0,0.0,424.0,0.0,0.0,1684.0,2512.0,0.0,604.0,606.0,0.0,333.0,87.0,0.0,18.0,4.0,8405.0,0.0,2059.0,0.0,58.0,1980.0,0.0,1467.0,0.0,823.0,0.0,9.0,0.0,289.0,0.0,84.0,0.0,1351.0,0.0,43.0,0.0,427.0,0.0,1054.0,0.0,2712.0,0.0,248.0,0.0,0.0,1710.0,3927.0,0.0,88.0,0.0,142.0,0.0,135.0,0.0,70.0,0.0,0.0,0.0,1112.0,0.0,6.0,1624.0,0.0,1424.0,0.0,291.0,0.0,1369.0,0.0,1823.0,0.0,667.0,1.0,0.0,1.0
2023-12-01 03:15:00+01:00,0.0,156.0,,,,,,,0.0,1714.0,2543.0,,,,,,,,,4.0,8352.0,0.0,2060.0,,,,,,0.0,823.0,0.0,8.0,,,,,,,,,,,,,,,,,,0.0,1700.0,3876.0,,,,,,,,,,,,,,,,0.0,1422.0,,,,,,,,,,,
2023-12-01 03:30:00+01:00,0.0,156.0,,,,,,,0.0,1749.0,2575.0,,,,,,,,,5.0,8294.0,0.0,2061.0,,,,,,0.0,823.0,0.0,8.0,,,,,,,,,,,,,,,,,,0.0,1688.0,3819.0,,,,,,,,,,,,,,,,0.0,1421.0,,,,,,,,,,,
2023-12-01 03:45:00+01:00,0.0,156.0,,,,,,,0.0,1784.0,2603.0,,,,,,,,,6.0,8233.0,0.0,2058.0,,,,,,0.0,823.0,0.0,8.0,,,,,,,,,,,,,,,,,,0.0,1676.0,3759.0,,,,,,,,,,,,,,,,0.0,1419.0,,,,,,,,,,,
2023-12-01 04:00:00+01:00,0.0,156.0,0.0,47.0,147.0,0.0,406.0,0.0,0.0,1826.0,2638.0,0.0,554.0,571.0,0.0,322.0,75.0,0.0,20.0,7.0,8159.0,0.0,2048.0,0.0,67.0,2035.0,0.0,1488.0,0.0,810.0,0.0,8.0,0.0,274.0,0.0,83.0,0.0,1338.0,0.0,45.0,0.0,421.0,0.0,1054.0,0.0,2632.0,0.0,227.0,0.0,0.0,1664.0,3698.0,0.0,87.0,0.0,106.0,0.0,119.0,0.0,70.0,0.0,0.0,0.0,1064.0,0.0,6.0,1693.0,0.0,1437.0,0.0,337.0,0.0,1398.0,0.0,1790.0,0.0,663.0,1.0,0.0,1.0
