CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2023-09-01 00:00:00+02:00,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,119.25,20.19,98.9,98.9,98.9,98.9,110.34,110.34,110.34,110.21,110.34,110.34,110.34,98.9,98.9,98.9,8.13,79.43,20.19,20.19,8.13,100.74,119.25,98.9,20.19,20.19,20.19,20.19,98.9,98.9
2023-09-01 01:00:00+02:00,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,116.25,19.78,95.97,109.57,95.97,95.97,109.57,109.57,109.57,109.57,109.57,109.57,109.57,95.97,95.97,95.97,7.03,79.47,19.78,19.78,7.03,99.78,116.25,95.97,19.78,19.78,19.78,19.78,95.97,95.97
2023-09-01 02:00:00+02:00,93.29,93.29,93.29,93.29,93.29,93.29,93.29,93.29,109.4,18.97,93.29,93.29,93.29,93.29,109.51,109.51,109.51,109.51,109.51,109.51,109.51,93.29,93.29,93.29,5.53,79.34,18.97,18.97,5.53,93.29,109.4,93.29,18.97,18.97,18.97,18.97,93.29,93.29
2023-09-01 03:00:00+02:00,92.09,91.01,92.12,92.52,93.07,93.07,93.07,92.64,109.4,18.88,85.67,92.12,91.84,92.22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.64,92.64,93.74,3.16,79.36,18.88,18.88,3.16,93.25,109.4,92.12,18.88,18.88,18.88,18.88,91.68,92.35
2023-09-01 04:00:00+02:00,91.8,87.5,92.13,93.03,94.08,94.08,94.08,93.23,108.72,27.47,78.18,92.13,91.51,92.34,102.0,102.0,102.0,102.0,102.0,102.0,102.0,93.23,93.23,94.08,3.05,79.5,18.98,18.98,3.05,93.23,108.72,92.13,18.98,18.98,18.98,18.98,91.16,92.63
2023-09-01 05:00:00+02:00,95.98,92.0,96.04,96.43,97.2,97.2,97.2,96.67,109.4,75.06,85.01,96.04,95.49,96.23,103.64,103.64,103.64,103.64,103.64,103.64,103.64,96.67,96.67,97.2,1.14,79.77,19.89,19.89,1.14,104.1,109.4,96.04,19.89,19.89,19.89,19.89,95.18,96.23
2023-09-01 06:00:00+02:00,111.93,109.25,112.05,111.93,112.04,112.04,112.04,112.09,112.68,112.09,100.16,112.05,111.93,112.05,112.05,112.05,112.05,112.05,112.05,112.05,112.05,112.09,112.09,112.04,9.87,81.66,21.48,21.48,9.87,112.09,112.68,112.05,21.48,21.48,21.48,21.48,111.93,111.93
2023-09-01 07:00:00+02:00,128.13,125.25,128.85,125.0,128.43,128.43,128.43,152.86,115.46,152.86,115.46,128.85,128.95,128.85,128.85,128.85,128.85,128.85,128.85,128.85,128.85,152.86,152.86,128.43,9.92,85.61,23.69,23.69,9.92,123.62,115.46,128.85,23.69,23.69,73.33,125.35,128.39,125.0
2023-09-01 08:00:00+02:00,127.85,126.84,127.85,127.85,129.43,129.43,129.43,199.95,119.01,199.95,119.01,127.85,128.02,127.85,136.0,136.0,136.0,136.0,136.0,136.0,136.0,199.95,199.95,129.43,8.45,85.66,26.39,26.39,8.45,126.32,119.01,127.85,26.39,26.39,126.32,126.32,127.85,127.51
2023-09-01 09:00:00+02:00,111.05,111.28,110.65,111.05,111.3,111.3,111.3,160.82,111.25,160.82,111.25,110.65,110.81,110.64,120.0,120.0,120.0,120.0,120.0,120.0,120.0,160.82,160.82,111.3,10.12,85.64,29.66,29.66,10.12,108.83,111.25,110.65,29.66,29.66,108.63,108.63,110.9,110.51
