CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2024-01-01 00:00:00+01:00,0.1,0.1,0.1,0.1,0.1,16.99,29.13,38.37,63.33,38.37,0.1,107.09,0.1,0.1,107.09,107.09,107.09,107.09,107.09,107.09,107.09,38.37,38.37,0.1,53.79,53.79,29.56,29.56,55.41,76.69,63.33,0.1,29.56,29.56,29.56,29.56,0.1,0.1
2024-01-01 01:00:00+01:00,0.01,0.01,0.01,0.01,0.01,28.14,28.46,28.46,50.09,28.46,0.01,104.0,0.01,0.01,104.0,104.0,104.0,104.0,104.0,104.0,104.0,28.46,28.46,0.01,48.98,48.98,28.46,28.46,53.41,74.5,50.09,0.01,28.46,28.46,28.46,28.46,0.01,0.01
2024-01-01 02:00:00+01:00,0.02,0.0,0.04,0.02,0.0,26.66,26.66,26.66,47.5,26.66,0.0,100.0,0.03,0.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.66,26.66,0.0,27.45,27.45,26.66,26.66,52.03,73.29,47.5,0.04,26.66,26.66,26.66,26.66,0.03,0.05
2024-01-01 03:00:00+01:00,0.0,-0.01,0.01,0.0,-0.01,4.14,24.48,24.48,43.5,24.48,-0.01,85.66,0.0,0.01,85.66,85.66,85.66,85.66,85.66,85.66,85.66,24.48,24.48,-0.01,24.48,24.48,24.48,24.48,50.74,71.58,43.5,0.01,24.48,24.48,24.48,24.48,0.0,0.01
2024-01-01 04:00:00+01:00,-0.01,-0.03,0.01,-0.01,-0.03,-0.03,24.01,24.01,42.5,24.01,-0.03,85.0,0.0,0.01,85.0,85.0,85.0,85.0,85.0,85.0,85.0,24.01,24.01,-0.03,24.01,24.01,24.01,24.01,49.84,73.27,42.5,0.01,24.01,24.01,24.01,24.01,0.0,0.01
2024-01-01 05:00:00+01:00,-0.01,-0.02,0.01,-0.01,-0.02,-0.02,15.88,21.23,42.09,21.23,-0.02,85.53,0.0,0.01,85.53,85.53,85.53,85.53,85.53,85.53,85.53,21.23,21.23,-0.02,21.23,21.23,21.23,21.23,53.77,74.32,42.09,0.01,21.23,21.23,21.23,21.23,0.0,0.01
2024-01-01 06:00:00+01:00,0.0,-0.05,0.04,0.0,-0.05,-0.05,15.87,22.62,42.5,22.62,-0.04,95.07,0.02,0.04,95.07,95.07,95.07,95.07,95.07,95.07,95.07,22.62,22.62,-0.05,22.62,22.62,22.62,22.62,57.07,76.69,42.5,0.04,22.62,22.62,22.62,22.62,0.02,0.04
2024-01-01 07:00:00+01:00,0.0,-0.02,0.01,0.0,-0.02,-0.02,22.04,25.04,42.59,25.04,-0.01,103.07,0.0,0.01,104.07,104.07,104.07,104.07,104.07,104.07,104.07,25.04,25.04,-0.02,25.04,25.04,25.04,25.04,57.22,74.55,42.59,0.01,25.04,25.04,25.04,25.04,0.0,0.01
2024-01-01 08:00:00+01:00,0.0,0.0,0.01,0.0,0.0,0.0,25.42,26.24,43.37,26.24,0.0,65.0,0.0,0.0,106.95,106.95,106.95,106.95,106.95,106.95,106.95,26.24,26.24,0.0,26.24,26.24,26.24,26.24,46.76,72.25,43.37,0.0,26.24,26.24,26.24,26.24,0.0,0.0
2024-01-01 09:00:00+01:00,0.04,0.04,0.04,0.04,0.04,0.08,32.21,32.21,42.29,32.21,0.04,47.34,0.04,0.04,107.08,107.08,107.08,107.08,107.08,107.08,107.08,32.21,32.21,0.04,32.21,32.21,32.21,30.93,46.89,76.01,42.29,0.04,32.21,32.21,32.21,32.21,0.04,0.04
