CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Offshore,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Solar,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2024-04-01 00:00:00+02:00,0.0,2808.0,0.0,635.0,621.0,0.0,181.0,0.0,0.0,2476.0,8046.0,0.0,207.0,110.0,0.0,168.0,21.0,0.0,93.0,51.0,11646.0,0.0,2634.0,0.0,515.0,5602.0,0.0,1174.0,0.0,759.0,0.0,236.0,0.0,205.0,0.0,79.0,0.0,576.0,0.0,61.0,0.0,348.0,0.0,940.0,0.0,1277.0,0.0,486.0,,1.0,0.0,821.0,1977.0,0.0,78.0,0.0,146.0,0.0,184.0,0.0,311.0,0.0,0.0,0.0,3133.0,0.0,14.0,2556.0,0.0,804.0,0.0,610.0,0.0,481.0,0.0,457.0,0.0,152.0,1.0,0.0,1.0
2024-04-01 00:15:00+02:00,0.0,2796.0,,,,,,,0.0,2561.0,8053.0,,,,,,,,,47.0,11647.0,0.0,2608.0,,,,,,0.0,759.0,0.0,236.0,,,,,,,,,,,,,,,,,,,0.0,821.0,1982.0,,,,,,,,,,,,,,,,0.0,803.0,,,,,,,,,,,
2024-04-01 00:30:00+02:00,0.0,2788.0,,,,,,,0.0,2648.0,8057.0,,,,,,,,,43.0,11645.0,0.0,2568.0,,,,,,0.0,759.0,0.0,236.0,,,,,,,,,,,,,,,,,,,0.0,819.0,1987.0,,,,,,,,,,,,,,,,0.0,802.0,,,,,,,,,,,
2024-04-01 00:45:00+02:00,0.0,2780.0,,,,,,,0.0,2725.0,8054.0,,,,,,,,,38.0,11636.0,0.0,2473.0,,,,,,0.0,759.0,0.0,235.0,,,,,,,,,,,,,,,,,,,0.0,817.0,1991.0,,,,,,,,,,,,,,,,0.0,801.0,,,,,,,,,,,
2024-04-01 01:00:00+02:00,0.0,2776.0,0.0,726.0,515.0,0.0,162.0,0.0,0.0,2803.0,8039.0,0.0,208.0,123.0,0.0,97.0,15.0,0.0,89.0,32.0,11638.0,0.0,2296.0,0.0,543.0,5626.0,0.0,1102.0,0.0,766.0,0.0,235.0,0.0,212.0,0.0,81.0,0.0,581.0,0.0,62.0,0.0,328.0,0.0,958.0,0.0,1275.0,0.0,484.0,,1.0,0.0,815.0,1995.0,0.0,90.0,0.0,143.0,0.0,209.0,0.0,298.0,0.0,0.0,0.0,2883.0,0.0,15.0,2671.0,0.0,692.0,0.0,735.0,0.0,546.0,0.0,589.0,0.0,168.0,1.0,0.0,1.0
2024-04-01 01:15:00+02:00,0.0,2780.0,,,,,,,0.0,2883.0,8037.0,,,,,,,,,30.0,11613.0,0.0,2189.0,,,,,,0.0,766.0,0.0,234.0,,,,,,,,,,,,,,,,,,,0.0,819.0,1996.0,,,,,,,,,,,,,,,,0.0,691.0,,,,,,,,,,,
2024-04-01 01:30:00+02:00,0.0,2788.0,,,,,,,0.0,2961.0,8044.0,,,,,,,,,30.0,11577.0,0.0,2122.0,,,,,,0.0,766.0,0.0,234.0,,,,,,,,,,,,,,,,,,,0.0,831.0,1995.0,,,,,,,,,,,,,,,,0.0,690.0,,,,,,,,,,,
2024-04-01 01:45:00+02:00,0.0,2792.0,,,,,,,0.0,3036.0,8066.0,,,,,,,,,31.0,11535.0,0.0,2065.0,,,,,,0.0,766.0,0.0,233.0,,,,,,,,,,,,,,,,,,,0.0,843.0,1994.0,,,,,,,,,,,,,,,,0.0,689.0,,,,,,,,,,,
2024-04-01 02:00:00+02:00,0.0,2804.0,0.0,809.0,434.0,0.0,135.0,0.0,0.0,3108.0,8051.0,0.0,244.0,151.0,0.0,58.0,17.0,0.0,83.0,34.0,11485.0,0.0,2036.0,0.0,545.0,5653.0,0.0,1023.0,0.0,756.0,0.0,233.0,0.0,213.0,0.0,81.0,0.0,586.0,0.0,62.0,0.0,301.0,0.0,961.0,0.0,1264.0,0.0,465.0,,4.0,0.0,855.0,1990.0,0.0,108.0,0.0,139.0,0.0,215.0,0.0,282.0,0.0,0.0,0.0,2674.0,0.0,16.0,2791.0,0.0,580.0,0.0,889.0,0.0,756.0,0.0,736.0,0.0,178.0,2.0,0.0,1.0
2024-04-01 02:15:00+02:00,0.0,2820.0,,,,,,,0.0,3163.0,7992.0,,,,,,,,,34.0,11440.0,0.0,1996.0,,,,,,0.0,756.0,0.0,233.0,,,,,,,,,,,,,,,,,,,0.0,848.0,1946.0,,,,,,,,,,,,,,,,0.0,579.0,,,,,,,,,,,
