CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2022-02-01 00:00:00+01:00,175.62,200.0,175.62,160.15,160.15,140.75,140.75,140.75,208.4,140.75,208.4,208.4,185.08,175.62,202.05,208.4,208.4,208.4,208.4,202.05,208.4,160.15,160.15,225.1,140.75,140.75,27.09,20.99,140.75,160.15,208.4,175.62,33.7,33.7,140.75,140.75,185.08,160.15
2022-02-01 01:00:00+01:00,166.73,181.74,166.73,154.54,154.54,138.99,138.99,138.99,191.95,138.99,192.62,189.87,166.73,166.73,181.92,194.87,189.87,194.87,189.87,181.92,189.87,150.12,150.12,200.8,138.99,138.99,22.59,19.95,138.99,150.12,191.95,166.73,33.75,33.75,138.99,138.99,166.73,154.54
2022-02-01 02:00:00+01:00,174.0,181.97,174.0,156.24,156.24,135.51,135.51,135.51,191.65,135.51,194.16,179.26,174.0,174.0,179.26,194.16,179.26,194.16,179.26,179.26,179.26,141.42,141.42,195.0,135.51,135.51,22.6,19.92,135.51,141.42,191.65,174.0,34.03,34.03,135.51,135.51,174.0,156.24
2022-02-01 03:00:00+01:00,174.04,176.21,174.04,155.17,155.17,130.83,130.83,130.83,186.1,130.83,186.1,174.04,174.04,174.04,174.04,186.1,174.04,186.1,174.04,174.04,174.04,139.24,139.24,179.9,134.74,134.74,22.41,19.9,134.74,139.24,186.1,174.04,34.31,34.31,130.83,130.83,174.04,155.17
2022-02-01 04:00:00+01:00,169.0,167.54,169.0,165.13,165.13,137.54,137.54,137.54,169.97,137.54,169.97,169.0,185.52,169.0,169.0,185.52,169.0,185.52,169.0,169.0,169.0,141.23,141.23,164.8,137.54,137.54,24.21,19.92,137.54,141.23,169.97,169.0,34.51,34.51,137.54,137.54,185.52,165.13
2022-02-01 05:00:00+01:00,168.78,172.13,181.62,163.01,163.01,143.44,143.44,143.44,181.0,143.44,181.0,181.62,195.53,181.62,181.62,195.53,181.62,195.53,181.62,181.62,181.62,152.25,152.25,162.19,143.44,143.44,24.62,20.34,143.44,152.25,181.0,181.62,35.29,35.29,143.44,143.44,195.53,163.01
2022-02-01 06:00:00+01:00,220.02,202.06,220.02,206.15,206.15,147.41,147.41,185.0,191.94,147.41,213.49,220.02,241.56,220.02,212.29,241.56,212.29,241.56,212.29,212.29,212.29,185.0,185.0,201.0,145.67,145.67,18.95,18.95,145.67,192.45,191.94,220.02,64.26,64.26,147.41,147.41,241.56,206.15
2022-02-01 07:00:00+01:00,242.7,247.67,250.26,239.17,239.17,233.43,233.43,233.43,227.0,233.43,251.89,250.26,269.9,242.7,250.26,269.9,269.9,269.9,269.9,250.26,250.26,233.43,233.43,238.0,219.95,219.95,19.95,19.95,146.97,174.26,227.0,250.26,84.74,84.74,233.43,233.43,269.9,239.17
2022-02-01 08:00:00+01:00,246.98,241.6,289.13,243.72,243.72,243.72,243.72,243.72,250.0,243.72,257.15,286.29,290.0,246.98,245.0,290.0,290.0,290.0,290.0,245.0,245.0,243.72,243.72,243.97,236.17,236.17,21.72,21.72,146.99,213.95,250.0,289.13,243.72,243.72,243.72,243.72,290.0,243.72
2022-02-01 09:00:00+01:00,230.0,264.0,269.47,230.0,213.0,180.37,207.89,230.0,233.19,207.89,246.61,269.47,280.0,230.0,230.0,280.0,280.0,280.0,280.0,230.0,230.0,230.0,230.0,262.0,171.41,171.41,19.89,19.89,146.82,230.0,233.19,269.47,207.89,207.89,207.89,207.89,280.0,230.0
2022-02-01 10:00:00+01:00,218.52,253.57,276.05,218.52,209.94,164.73,204.91,204.91,196.84,204.91,235.51,254.08,273.13,218.52,209.0,273.13,273.13,273.13,273.13,209.0,209.0,204.91,204.91,225.0,147.66,147.66,17.73,17.73,146.76,184.25,196.84,276.05,204.91,204.91,204.91,204.91,273.13,218.52
2022-02-01 11:00:00+01:00,201.97,255.5,243.07,201.97,172.81,136.89,168.66,201.97,191.65,168.66,225.66,243.07,261.5,201.97,181.92,261.5,261.5,261.5,261.5,181.92,181.92,201.97,201.97,222.0,145.22,145.22,16.99,16.99,145.22,174.07,191.65,243.07,168.66,168.66,168.66,168.66,261.5,201.97
2022-02-01 12:00:00+01:00,201.83,237.0,235.73,201.83,143.7,141.86,142.52,201.83,191.1,142.52,232.11,235.73,232.11,201.83,193.86,232.11,227.81,232.11,227.81,193.86,193.86,201.83,201.83,186.0,142.52,142.52,16.93,16.93,142.52,161.36,191.1,235.73,142.52,142.52,142.52,142.52,232.11,201.83
2022-02-01 13:00:00+01:00,220.03,214.59,228.79,220.03,137.69,137.52,137.69,220.03,190.02,138.7,190.02,228.79,232.11,220.03,181.92,232.11,221.0,232.11,221.0,181.92,181.92,220.03,220.03,200.0,138.7,138.7,17.25,17.25,138.7,161.15,190.02,228.79,138.7,138.7,138.7,138.7,232.11,220.03
2022-02-01 14:00:00+01:00,210.03,172.4,229.19,210.03,130.9,130.9,130.9,210.03,191.09,134.12,191.09,229.19,256.99,210.03,193.8,256.99,227.81,256.99,227.81,193.8,193.8,210.03,210.03,180.0,134.12,134.12,17.58,17.58,134.12,149.18,191.09,229.19,134.12,134.12,134.12,134.12,256.99,210.03
2022-02-01 15:00:00+01:00,220.1,163.95,235.73,220.1,126.42,126.42,126.42,220.1,171.89,131.43,171.89,235.73,271.05,220.1,222.81,271.05,234.0,271.05,234.0,222.81,222.81,220.1,220.1,176.4,131.43,131.43,18.96,18.96,131.43,148.97,171.89,235.73,42.58,42.58,131.43,131.43,271.05,220.1
2022-02-01 16:00:00+01:00,234.93,214.6,245.08,234.93,124.2,124.2,124.2,234.93,190.96,135.75,190.96,245.08,291.2,234.93,235.0,291.2,291.2,291.2,291.2,235.0,235.0,234.93,234.93,180.0,130.29,130.29,19.97,19.97,130.29,151.01,190.96,245.08,41.22,41.22,130.29,130.29,291.2,234.93
2022-02-01 17:00:00+01:00,246.91,176.4,279.21,246.91,127.37,127.37,127.37,246.91,216.88,131.45,216.88,279.21,300.1,246.91,276.11,300.1,300.1,300.1,300.1,276.11,276.11,246.91,246.91,176.4,131.45,131.45,19.89,19.89,131.45,149.5,216.88,279.21,42.05,42.05,131.45,131.45,300.1,246.91
2022-02-01 18:00:00+01:00,246.98,283.46,266.26,246.98,129.95,129.95,129.95,246.98,245.01,133.15,245.01,266.26,297.61,246.98,266.26,297.61,297.61,297.61,297.61,266.26,266.26,246.98,246.98,200.0,133.15,133.15,16.69,16.69,133.15,121.87,245.01,266.26,35.23,35.23,133.15,133.15,297.61,246.98
