CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2023-02-01 00:00:00+01:00,0.0,2940.0,0.0,2066.0,1128.0,0.0,416.0,0.0,0.0,4603.0,37340.0,0.0,1027.0,2951.0,0.0,342.0,537.0,0.0,49.0,51.0,7828.0,0.0,701.0,0.0,5440.0,0.0,2009.0,0.0,102.0,0.0,132.0,0.0,255.0,0.0,26.0,0.0,79.0,0.0,24.0,0.0,8.0,0.0,227.0,0.0,736.0,0.0,421.0,16.0,0.0,1595.0,4643.0,0.0,18.0,0.0,1079.0,0.0,203.0,0.0,182.0,0.0,0.0,0.0,7921.0,0.0,1.0,1191.0,0.0,1010.0,0.0,469.0,0.0,667.0,0.0,857.0,0.0,1693.0,0.0,0.0,1.0
2023-02-01 00:15:00+01:00,0.0,2968.0,,,,,,,0.0,4605.0,37280.0,,,,,,,,,56.0,7828.0,,,,,,,,,0.0,136.0,,,,,,,,,,,,,,,,,,0.0,1599.0,4667.0,,,,,,,,,,,,,,,,0.0,1009.0,,,,,,,,,,,
2023-02-01 00:30:00+01:00,0.0,2996.0,,,,,,,0.0,4607.0,37184.0,,,,,,,,,54.0,7832.0,,,,,,,,,0.0,140.0,,,,,,,,,,,,,,,,,,0.0,1603.0,4696.0,,,,,,,,,,,,,,,,0.0,1008.0,,,,,,,,,,,
2023-02-01 00:45:00+01:00,0.0,3024.0,,,,,,,0.0,4610.0,37080.0,,,,,,,,,46.0,7838.0,,,,,,,,,0.0,144.0,,,,,,,,,,,,,,,,,,0.0,1607.0,4730.0,,,,,,,,,,,,,,,,0.0,1007.0,,,,,,,,,,,
2023-02-01 01:00:00+01:00,0.0,3032.0,0.0,2116.0,1256.0,0.0,373.0,0.0,0.0,4839.0,36981.0,0.0,1049.0,2961.0,0.0,334.0,534.0,0.0,44.0,35.0,7841.0,0.0,625.0,0.0,5610.0,0.0,1952.0,0.0,102.0,0.0,148.0,0.0,256.0,0.0,26.0,0.0,76.0,0.0,27.0,0.0,10.0,0.0,191.0,0.0,733.0,0.0,436.0,14.0,0.0,1611.0,4760.0,0.0,18.0,0.0,1065.0,0.0,226.0,0.0,199.0,0.0,0.0,0.0,7982.0,0.0,1.0,1374.0,0.0,922.0,0.0,462.0,0.0,634.0,0.0,825.0,0.0,1682.0,0.0,0.0,1.0
2023-02-01 01:15:00+01:00,0.0,3036.0,,,,,,,0.0,4843.0,36917.0,,,,,,,,,26.0,7853.0,,,,,,,,,0.0,150.0,,,,,,,,,,,,,,,,,,0.0,1612.0,4801.0,,,,,,,,,,,,,,,,0.0,921.0,,,,,,,,,,,
2023-02-01 01:30:00+01:00,0.0,3028.0,,,,,,,0.0,4848.0,36857.0,,,,,,,,,19.0,7869.0,,,,,,,,,0.0,152.0,,,,,,,,,,,,,,,,,,0.0,1610.0,4847.0,,,,,,,,,,,,,,,,0.0,920.0,,,,,,,,,,,
2023-02-01 01:45:00+01:00,0.0,3024.0,,,,,,,0.0,4855.0,36826.0,,,,,,,,,15.0,7886.0,,,,,,,,,0.0,154.0,,,,,,,,,,,,,,,,,,0.0,1608.0,4896.0,,,,,,,,,,,,,,,,0.0,919.0,,,,,,,,,,,
2023-02-01 02:00:00+01:00,0.0,3024.0,0.0,2121.0,1373.0,0.0,362.0,0.0,0.0,4860.0,36804.0,0.0,1030.0,2877.0,0.0,328.0,527.0,0.0,42.0,12.0,7909.0,0.0,546.0,0.0,5769.0,0.0,1905.0,0.0,96.0,0.0,157.0,0.0,265.0,0.0,27.0,0.0,100.0,0.0,28.0,0.0,9.0,0.0,170.0,0.0,789.0,0.0,463.0,12.0,0.0,1607.0,4941.0,0.0,23.0,0.0,1033.0,0.0,217.0,0.0,209.0,0.0,0.0,0.0,8002.0,0.0,1.0,1450.0,1.0,800.0,0.0,458.0,0.0,613.0,0.0,788.0,0.0,1651.0,0.0,0.0,1.0
2023-02-01 02:15:00+01:00,0.0,3020.0,,,,,,,0.0,4860.0,36815.0,,,,,,,,,12.0,7923.0,,,,,,,,,0.0,161.0,,,,,,,,,,,,,,,,,,0.0,1605.0,4988.0,,,,,,,,,,,,,,,,1.0,798.0,,,,,,,,,,,
