CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2023-04-01 00:00:00+02:00,82.19,82.19,82.19,82.19,82.19,82.19,39.58,39.58,82.19,39.58,82.19,130.48,82.19,82.19,130.48,130.48,130.48,130.48,130.48,130.48,130.48,39.58,39.58,82.19,84.91,84.91,57.34,39.58,84.91,125.37,82.19,82.19,39.58,39.58,39.58,39.58,82.19,82.19
2023-04-01 01:00:00+02:00,63.9,63.9,63.9,63.9,63.9,63.9,36.62,36.62,63.9,36.62,63.9,124.41,63.9,63.9,124.41,124.41,124.41,124.41,124.41,124.41,124.41,36.62,36.62,63.9,81.74,81.74,50.23,36.38,81.74,125.39,63.9,63.9,36.62,36.62,36.62,36.62,63.9,63.9
2023-04-01 02:00:00+02:00,53.84,53.84,53.84,53.84,53.84,53.84,34.96,34.96,50.0,34.96,53.84,123.19,53.84,53.84,123.19,123.19,123.19,123.19,123.19,123.19,123.19,34.96,34.96,53.84,81.14,81.14,45.93,34.96,81.14,125.4,50.0,53.84,34.96,34.96,34.96,34.96,53.84,53.84
2023-04-01 03:00:00+02:00,40.05,44.39,39.63,39.41,38.83,38.83,35.52,35.52,42.5,35.52,42.5,104.5,39.84,39.61,104.5,104.5,104.5,104.5,104.5,104.5,104.5,35.52,35.52,53.99,81.27,81.27,44.17,32.98,81.27,125.7,42.5,39.63,35.52,35.52,35.52,35.52,40.02,39.48
2023-04-01 04:00:00+02:00,37.39,41.22,36.92,36.71,36.05,36.05,35.19,35.19,39.45,35.19,39.45,99.0,37.13,36.9,99.0,99.0,99.0,99.0,99.0,99.0,99.0,35.19,35.19,55.01,82.24,82.24,43.88,31.73,82.24,125.66,39.45,36.92,35.19,35.19,35.19,35.19,37.32,36.76
2023-04-01 05:00:00+02:00,37.5,44.16,36.7,36.52,35.33,35.33,35.33,35.33,38.32,35.33,38.32,110.0,36.98,36.69,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.33,35.33,70.0,83.03,83.03,43.62,31.21,83.03,125.75,38.32,36.7,35.33,35.33,35.33,35.33,37.19,36.5
2023-04-01 06:00:00+02:00,35.57,42.5,36.76,35.2,34.36,34.36,34.36,34.36,42.5,34.36,42.5,128.13,36.76,36.76,128.13,128.13,128.13,128.13,128.13,128.13,128.13,34.36,34.36,80.58,84.49,84.49,43.89,30.88,84.49,125.71,42.5,36.76,34.36,34.36,34.36,34.36,36.78,36.14
2023-04-01 07:00:00+02:00,53.12,56.49,53.45,52.17,51.71,51.71,42.83,42.83,54.67,42.83,54.67,131.25,53.2,53.12,137.42,137.42,137.42,137.42,137.42,137.42,137.42,42.83,42.83,85.0,86.57,86.57,44.18,31.33,86.57,125.75,54.67,53.45,42.83,42.83,42.83,42.83,53.15,52.62
2023-04-01 08:00:00+02:00,62.3,66.03,62.23,61.72,61.16,61.16,50.0,50.0,63.78,50.0,63.78,62.23,62.34,62.3,137.42,137.42,137.42,137.42,137.42,137.42,137.42,50.0,50.0,90.0,88.94,88.94,50.32,32.67,88.94,125.74,63.78,62.23,50.0,50.0,50.0,50.0,62.4,62.05
2023-04-01 09:00:00+02:00,62.4,66.87,62.31,61.72,60.41,60.41,58.96,58.96,55.0,58.96,63.23,62.31,62.35,62.27,123.72,123.72,123.72,123.72,123.72,123.72,123.72,58.96,58.96,86.7,89.2,89.2,58.96,36.09,89.2,124.96,55.0,62.31,58.96,58.96,58.96,58.96,62.4,62.27
