CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2024-09-01 00:00:00+02:00,94.78,93.93,96.41,95.09,93.76,93.76,93.76,98.87,134.02,0.6,94.02,96.41,95.76,96.37,123.67,123.67,123.67,123.67,123.67,123.67,123.67,98.87,98.87,93.89,9.59,54.82,12.87,12.87,9.59,98.87,134.02,96.41,0.6,0.6,0.6,0.6,95.48,96.74
2024-09-01 01:00:00+02:00,86.0,85.99,86.03,86.01,85.98,85.98,85.98,86.07,129.16,0.01,85.99,109.0,86.02,86.03,123.48,123.48,123.48,123.48,123.48,123.48,123.48,86.07,86.07,85.99,9.17,54.57,12.8,12.8,9.17,86.07,129.16,86.03,0.01,0.01,0.01,0.01,86.01,86.03
2024-09-01 02:00:00+02:00,80.37,80.37,80.37,80.37,80.37,80.37,80.37,80.37,125.92,0.0,80.37,121.2,80.37,80.37,121.2,121.2,121.2,121.2,121.2,121.2,121.2,80.37,80.37,80.37,8.91,54.57,12.77,12.77,8.91,91.18,125.92,80.37,0.0,0.0,0.0,0.0,80.37,80.37
2024-09-01 03:00:00+02:00,78.82,74.19,80.04,80.5,80.14,79.57,80.14,81.82,124.3,0.0,68.61,118.18,79.28,80.15,118.18,118.18,118.18,118.18,118.18,118.18,118.18,81.82,81.82,79.57,8.83,54.57,12.97,12.97,8.83,90.08,124.3,80.04,0.0,0.0,0.0,0.0,78.98,80.51
2024-09-01 04:00:00+02:00,79.51,68.22,80.37,81.75,81.2,79.87,79.87,82.02,122.68,0.0,56.17,113.59,79.17,80.6,116.41,116.41,116.41,116.41,116.41,116.41,116.41,82.02,82.02,79.87,8.79,54.51,13.31,13.31,8.79,91.47,122.68,80.37,0.0,0.0,0.0,0.0,78.84,81.13
2024-09-01 05:00:00+02:00,83.11,65.72,81.75,80.08,80.16,76.57,76.57,81.11,121.39,0.0,53.86,101.28,78.9,82.57,113.33,113.33,113.33,113.33,113.33,113.33,113.33,81.11,81.11,76.57,8.76,54.4,12.83,12.83,8.76,92.21,121.39,81.75,0.0,0.0,0.0,0.0,78.02,80.08
2024-09-01 06:00:00+02:00,87.08,65.86,83.25,80.76,79.49,73.8,79.49,81.13,124.09,0.66,56.44,108.78,84.81,82.91,116.0,116.0,116.0,116.0,116.0,116.0,116.0,81.13,81.13,73.8,9.1,54.1,12.62,12.62,9.1,92.82,124.09,83.25,0.66,0.66,0.66,0.66,86.93,82.02
2024-09-01 07:00:00+02:00,84.97,64.61,80.37,78.01,73.1,72.09,73.1,77.89,124.9,1.0,57.05,112.5,80.2,80.63,112.5,112.5,112.5,112.5,112.5,112.5,112.5,77.89,77.89,72.09,11.75,53.24,12.74,12.74,11.75,94.05,124.9,80.37,1.0,1.0,1.0,71.34,80.6,80.39
2024-09-01 08:00:00+02:00,64.34,60.6,63.09,62.0,60.63,60.63,60.63,61.95,113.08,2.52,60.63,108.07,63.32,63.1,108.49,108.49,108.49,108.49,108.49,108.49,108.49,61.95,61.95,60.63,14.99,48.49,14.99,14.99,14.99,66.8,113.08,63.09,2.52,2.52,2.52,59.18,63.56,62.88
2024-09-01 09:00:00+02:00,41.27,41.27,41.27,41.27,41.27,41.27,41.27,41.27,100.66,3.19,41.27,41.27,41.27,41.27,100.2,100.2,100.2,100.2,100.2,100.2,100.2,41.27,41.27,41.27,17.91,38.71,15.35,15.35,15.35,41.27,100.66,41.27,3.19,3.19,3.19,40.28,41.27,41.27
