CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2023-07-01 00:00:00+02:00,112.14,94.41,119.18,115.59,109.74,109.74,109.74,134.85,102.51,22.37,85.68,119.18,115.54,119.16,113.41,113.41,113.41,113.41,113.41,113.41,113.41,134.85,134.85,101.56,66.45,97.27,22.37,20.97,66.45,134.85,102.51,119.18,22.37,22.37,22.37,22.37,113.41,121.91
2023-07-01 01:00:00+02:00,110.95,81.17,117.32,114.48,108.91,99.5,99.5,132.53,102.51,20.49,64.75,117.32,113.36,117.39,111.23,111.23,111.23,111.23,111.23,111.23,111.23,132.53,132.53,99.5,62.8,92.02,20.49,20.49,62.8,132.53,102.51,117.32,20.49,20.49,20.49,20.49,111.23,120.09
2023-07-01 02:00:00+02:00,111.82,68.09,111.59,108.66,104.31,85.48,85.48,84.69,89.19,20.17,61.43,111.59,111.03,111.47,110.76,110.76,110.76,110.76,110.76,110.76,110.76,84.69,84.69,83.28,62.36,83.0,20.17,20.17,62.36,115.64,89.19,111.59,20.17,20.17,20.17,20.17,110.76,111.91
2023-07-01 03:00:00+02:00,111.18,43.7,111.4,106.44,99.14,79.96,79.96,19.96,87.5,19.96,33.87,111.4,110.3,111.19,111.88,111.88,111.88,111.88,111.88,111.88,111.88,19.96,19.96,66.89,62.19,77.64,19.96,19.96,62.19,119.07,87.5,111.4,19.96,19.96,19.96,19.96,109.75,111.9
2023-07-01 04:00:00+02:00,110.13,31.09,107.66,103.91,98.11,67.3,67.3,19.77,86.79,19.77,18.25,107.67,107.47,107.51,111.23,111.23,111.23,111.23,111.23,111.23,111.23,19.77,19.77,60.03,60.77,65.35,19.77,19.77,60.77,110.81,86.79,107.66,19.77,19.77,19.77,19.77,107.42,107.56
2023-07-01 05:00:00+02:00,97.27,24.74,98.81,92.95,84.11,53.64,53.64,84.69,85.0,20.15,14.58,107.48,96.81,98.58,111.23,111.23,111.23,111.23,111.23,111.23,111.23,84.69,84.69,53.64,52.08,52.08,20.15,20.15,52.08,110.83,85.0,98.81,20.15,20.15,20.15,20.15,95.71,99.96
2023-07-01 06:00:00+02:00,93.96,36.1,97.14,89.85,78.63,54.27,54.27,111.74,85.0,27.96,31.46,116.24,94.94,96.75,110.0,110.0,110.0,110.0,110.0,110.0,110.0,111.74,111.74,54.27,52.7,52.7,20.91,20.9,52.7,111.74,85.0,97.14,27.96,27.96,27.96,27.96,93.68,98.46
2023-07-01 07:00:00+02:00,100.69,32.1,101.21,95.59,85.75,55.12,55.12,111.21,80.0,39.34,22.2,115.32,99.74,100.91,109.23,109.23,109.23,109.23,109.23,109.23,109.23,111.21,111.21,55.12,55.12,55.12,21.07,21.07,55.12,111.21,80.0,101.21,39.34,39.34,39.34,39.34,98.95,101.99
2023-07-01 08:00:00+02:00,81.82,69.09,86.48,83.17,78.03,76.09,76.09,99.06,62.29,25.26,62.29,100.25,83.45,86.18,108.94,108.94,108.94,108.94,108.94,108.94,108.94,99.06,99.06,76.09,64.99,73.88,22.12,21.0,64.99,113.61,67.0,86.48,25.26,25.26,25.26,76.09,81.97,88.09
2023-07-01 09:00:00+02:00,63.33,57.35,63.61,64.4,64.9,64.9,64.9,64.51,50.41,29.42,50.41,99.18,63.04,63.69,111.23,111.23,111.23,111.23,111.23,111.23,111.23,64.51,64.51,64.9,62.93,64.06,22.77,20.93,62.93,123.51,81.4,63.61,29.42,29.42,29.42,63.34,62.62,63.99
2023-07-01 10:00:00+02:00,43.81,43.86,43.8,43.81,43.79,43.79,43.79,43.8,43.71,29.87,43.71,96.95,43.8,43.81,109.77,109.77,109.77,109.77,109.77,109.77,109.77,43.8,43.8,44.3,45.77,45.77,23.15,21.02,45.77,132.2,81.7,43.8,29.87,29.87,29.87,42.74,43.8,43.81
2023-07-01 11:00:00+02:00,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.61,85.0,24.61,24.61,101.56,101.56,101.56,101.56,101.56,101.56,101.56,24.61,24.61,24.61,25.4,25.4,23.2,20.94,25.4,123.49,82.0,24.61,24.61,24.61,24.61,24.61,24.61,24.61
2023-07-01 12:00:00+02:00,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,16.83,72.3,16.83,16.83,70.04,70.04,70.04,70.04,70.04,70.04,70.04,16.83,16.83,16.83,17.33,17.33,16.83,16.83,17.33,109.6,83.9,16.83,16.83,16.83,16.83,16.83,16.83,16.83
2023-07-01 13:00:00+02:00,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,15.0,4.43,4.43,70.0,70.0,70.0,70.0,70.0,70.0,70.0,4.43,4.43,4.43,4.57,4.57,4.43,4.43,4.57,108.9,83.9,4.43,4.43,4.43,4.43,4.43,4.43,4.43
2023-07-01 14:00:00+02:00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,1.64,0.07,0.07,15.0,0.07,0.07,70.0,86.21,70.0,86.21,70.0,70.0,70.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,110.83,82.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2023-07-01 15:00:00+02:00,0.84,0.43,0.9,0.94,0.97,0.97,0.99,0.99,0.0,0.99,-0.01,96.49,0.85,0.9,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.99,0.99,0.89,0.99,0.99,0.99,0.99,0.99,110.81,82.0,0.9,0.99,0.99,0.99,0.99,0.82,0.93
2023-07-01 16:00:00+02:00,10.67,5.53,11.44,12.0,12.31,12.31,12.67,12.67,0.0,12.67,-0.01,115.36,10.81,11.5,70.0,70.0,70.0,70.0,70.0,70.0,70.0,12.67,12.67,11.11,12.67,12.67,12.67,12.67,12.67,110.23,81.7,11.44,12.67,12.67,12.67,12.67,10.44,11.84
2023-07-01 17:00:00+02:00,47.04,25.48,49.39,52.43,54.59,52.77,52.4,52.4,1.64,52.4,1.64,102.01,47.02,49.73,98.11,98.11,98.11,98.11,98.11,98.11,98.11,52.4,52.4,49.9,53.95,53.95,21.09,20.67,53.95,132.45,81.7,49.39,52.4,52.4,52.4,52.4,45.52,50.89
2023-07-01 18:00:00+02:00,68.98,46.62,71.6,74.84,77.14,67.88,67.88,67.88,22.0,55.84,22.0,115.73,69.33,72.03,109.82,109.82,109.82,109.82,109.82,109.82,109.82,67.88,67.88,71.88,66.33,69.29,20.74,20.69,66.33,148.2,81.7,71.6,55.55,55.55,55.84,67.88,67.68,73.2
2023-07-01 19:00:00+02:00,95.36,71.56,112.22,100.16,82.36,70.24,67.27,84.7,65.0,58.19,65.0,112.22,104.66,111.78,118.59,118.59,118.59,118.59,118.59,118.59,118.59,84.7,84.7,78.7,67.29,72.96,20.71,20.71,67.29,150.35,81.4,112.22,58.19,58.19,58.19,58.19,100.4,116.87
2023-07-01 20:00:00+02:00,101.63,84.3,115.78,104.92,89.6,73.63,55.87,147.16,82.14,55.87,82.14,115.78,109.48,115.39,130.0,130.0,130.0,130.0,130.0,130.0,130.0,147.16,147.16,87.0,66.64,75.83,20.5,20.5,66.64,147.16,82.14,115.78,55.87,55.87,55.87,55.87,106.15,119.68
