CET,AT-DA_price,BE-DA_price,BG-DA_price,CZ-DA_price,DE_LU-DA_price,DK_1-DA_price,DK_2-DA_price,EE-DA_price,ES-DA_price,FI-DA_price,FR-DA_price,GR-DA_price,HR-DA_price,HU-DA_price,IT_CALA-DA_price,IT_CNOR-DA_price,IT_CSUD-DA_price,IT_NORD-DA_price,IT_SARD-DA_price,IT_SICI-DA_price,IT_SUD-DA_price,LT-DA_price,LV-DA_price,NL-DA_price,NO_1-DA_price,NO_2-DA_price,NO_3-DA_price,NO_4-DA_price,NO_5-DA_price,PL-DA_price,PT-DA_price,RO-DA_price,SE_1-DA_price,SE_2-DA_price,SE_3-DA_price,SE_4-DA_price,SI-DA_price,SK-DA_price
2024-04-01 00:00:00+02:00,40.7,50.32,43.45,46.39,49.95,49.95,49.95,40.41,0.7,40.41,40.7,43.45,42.61,43.49,90.84,90.84,90.84,90.84,90.84,90.84,90.84,40.41,40.41,51.03,53.18,53.18,53.18,40.41,53.18,68.7,0.7,43.45,40.41,40.41,40.41,40.41,42.13,44.32
2024-04-01 01:00:00+02:00,32.1,44.39,37.15,42.6,48.98,48.98,48.98,40.39,0.02,40.39,32.1,37.15,35.62,37.24,90.0,90.0,90.0,90.0,90.0,90.0,90.0,40.39,40.39,48.98,49.65,49.65,49.65,40.39,49.65,68.69,0.02,37.15,40.39,40.39,40.39,40.39,34.75,38.77
2024-04-01 02:00:00+02:00,33.56,37.29,37.18,41.4,46.06,46.06,46.06,40.01,0.0,40.01,29.36,37.18,35.87,37.29,87.67,87.67,87.67,87.67,87.67,87.67,87.67,40.01,40.01,45.1,47.54,47.54,47.9,40.01,47.9,69.25,0.0,37.18,40.01,40.01,40.01,40.01,35.2,38.48
2024-04-01 03:00:00+02:00,41.83,31.64,41.65,42.95,43.58,43.58,43.58,37.49,0.0,37.49,21.19,43.0,40.77,41.91,85.67,85.67,85.67,85.67,85.67,85.67,85.67,37.49,37.49,43.54,44.98,44.98,47.63,37.49,47.63,69.38,0.0,41.65,37.49,37.49,37.49,37.49,40.45,42.33
2024-04-01 04:00:00+02:00,46.47,29.65,46.18,48.35,49.4,49.4,49.4,36.49,0.0,36.49,11.84,68.33,44.68,46.6,87.26,87.26,87.26,87.26,87.26,87.26,87.26,36.49,36.49,46.56,48.1,48.1,39.56,36.49,48.1,71.01,0.0,46.18,36.49,36.49,36.49,36.49,44.15,47.3
2024-04-01 05:00:00+02:00,49.25,44.43,49.01,51.06,52.35,52.35,52.35,36.49,0.0,36.49,17.04,79.35,47.61,49.42,85.61,85.61,85.61,85.61,85.61,85.61,85.61,36.49,36.49,52.35,51.94,51.94,36.49,36.49,51.94,72.17,0.0,49.01,36.49,36.49,36.49,36.49,47.1,50.08
2024-04-01 06:00:00+02:00,55.13,37.18,56.8,57.09,58.71,58.71,58.71,40.01,0.13,36.88,17.65,82.32,53.44,55.2,87.61,87.61,87.61,87.61,87.61,87.61,87.61,40.01,40.01,55.26,55.68,55.68,36.88,36.88,55.68,74.65,0.13,56.8,36.88,36.88,36.88,40.01,52.74,55.84
2024-04-01 07:00:00+02:00,60.27,38.85,59.88,62.69,64.49,64.49,64.49,52.08,1.19,40.25,15.39,60.0,57.86,60.43,87.67,87.67,87.67,87.67,87.67,87.67,87.67,52.08,52.08,59.51,57.17,57.17,40.25,40.25,57.17,71.24,1.19,59.88,40.25,40.25,40.25,52.08,57.31,61.32
2024-04-01 08:00:00+02:00,32.03,39.29,39.58,48.77,58.71,58.71,58.71,49.3,0.94,42.37,19.64,39.58,36.5,39.84,86.55,86.55,86.55,86.55,86.55,86.55,86.55,49.3,49.3,58.71,56.83,56.83,42.37,42.37,56.83,60.81,0.94,39.58,42.37,42.37,42.37,49.3,35.29,42.34
2024-04-01 09:00:00+02:00,3.81,37.5,21.29,39.63,60.89,60.89,60.89,40.87,0.13,40.87,13.69,21.3,15.99,21.46,87.07,87.07,87.07,87.07,87.07,87.07,87.07,40.87,40.87,60.89,56.1,56.1,50.3,40.87,56.1,41.26,0.13,21.29,40.87,40.87,40.87,40.87,13.69,26.35
